round	execution_index	model	seq	state	l05_ms	l1_ms	l2_ms	resource_json	schedule_json	hash_json
41	2	gqa2	128	1	0.502976	0.510976	0.561888	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""28"", ""task_refs"": ""5184"", ""task_ref_bytes"": ""145152"", ""waits"": ""12756"", ""wait_bytes"": ""102048"", ""raw_polls"": ""20412"", ""lifted_polls"": ""7656"", ""waiting_tasks"": ""2984"", ""normalization_dummies_lb"": ""9772"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""36""}"	"{""l05"": ""03f67925c71ded7e"", ""l1"": ""03f67925c71ded7e"", ""l2"": ""03f67925c71ded7e""}"
41	3	mha4	4	0	0.790528	0.798944	0.806784	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""60"", ""task_refs"": ""560"", ""task_ref_bytes"": ""15680"", ""waits"": ""1140"", ""wait_bytes"": ""9120"", ""raw_polls"": ""1348"", ""lifted_polls"": ""208"", ""waiting_tasks"": ""492"", ""normalization_dummies_lb"": ""648"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""60""}"	"{""l05"": ""9f91d43bd2f0b35f"", ""l1"": ""9f91d43bd2f0b35f"", ""l2"": ""9f91d43bd2f0b35f""}"
41	4	mha4	4	1	0.715776	0.717760	0.797472	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""56"", ""task_refs"": ""528"", ""task_ref_bytes"": ""14784"", ""waits"": ""1108"", ""wait_bytes"": ""8864"", ""raw_polls"": ""1316"", ""lifted_polls"": ""208"", ""waiting_tasks"": ""460"", ""normalization_dummies_lb"": ""648"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""56""}"	"{""l05"": ""9f91d43bd2f0b35f"", ""l1"": ""9f91d43bd2f0b35f"", ""l2"": ""9f91d43bd2f0b35f""}"
41	5	mha4	128	0	1.021728	1.022112	1.144832	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""60"", ""task_refs"": ""13456"", ""task_ref_bytes"": ""376768"", ""waits"": ""27044"", ""wait_bytes"": ""216352"", ""raw_polls"": ""46436"", ""lifted_polls"": ""19392"", ""waiting_tasks"": ""7120"", ""normalization_dummies_lb"": ""19924"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""84""}"	"{""l05"": ""64b3d2b8927afe03"", ""l1"": ""64b3d2b8927afe03"", ""l2"": ""64b3d2b8927afe03""}"
41	6	mha4	128	1	1.114112	1.126400	1.224704	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""56"", ""task_refs"": ""12432"", ""task_ref_bytes"": ""348096"", ""waits"": ""26020"", ""wait_bytes"": ""208160"", ""raw_polls"": ""45412"", ""lifted_polls"": ""19392"", ""waiting_tasks"": ""6096"", ""normalization_dummies_lb"": ""19924"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""80""}"	"{""l05"": ""64b3d2b8927afe03"", ""l1"": ""64b3d2b8927afe03"", ""l2"": ""64b3d2b8927afe03""}"
41	7	gqa2	4	0	0.389120	0.394240	0.437248	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""30"", ""task_refs"": ""232"", ""task_ref_bytes"": ""6496"", ""waits"": ""524"", ""wait_bytes"": ""4192"", ""raw_polls"": ""604"", ""lifted_polls"": ""80"", ""waiting_tasks"": ""204"", ""normalization_dummies_lb"": ""320"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""30""}"	"{""l05"": ""4c544373c0add101"", ""l1"": ""4c544373c0add101"", ""l2"": ""4c544373c0add101""}"
42	0	gqa2	128	0	0.548896	0.555168	0.605184	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""30"", ""task_refs"": ""5440"", ""task_ref_bytes"": ""152320"", ""waits"": ""13012"", ""wait_bytes"": ""104096"", ""raw_polls"": ""20668"", ""lifted_polls"": ""7656"", ""waiting_tasks"": ""3240"", ""normalization_dummies_lb"": ""9772"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""38""}"	"{""l05"": ""03f67925c71ded7e"", ""l1"": ""03f67925c71ded7e"", ""l2"": ""03f67925c71ded7e""}"
42	1	gqa2	128	1	0.553984	0.562336	0.616448	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""28"", ""task_refs"": ""5184"", ""task_ref_bytes"": ""145152"", ""waits"": ""12756"", ""wait_bytes"": ""102048"", ""raw_polls"": ""20412"", ""lifted_polls"": ""7656"", ""waiting_tasks"": ""2984"", ""normalization_dummies_lb"": ""9772"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""36""}"	"{""l05"": ""03f67925c71ded7e"", ""l1"": ""03f67925c71ded7e"", ""l2"": ""03f67925c71ded7e""}"
42	2	mha4	4	0	0.791552	0.796672	0.884736	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""60"", ""task_refs"": ""560"", ""task_ref_bytes"": ""15680"", ""waits"": ""1140"", ""wait_bytes"": ""9120"", ""raw_polls"": ""1348"", ""lifted_polls"": ""208"", ""waiting_tasks"": ""492"", ""normalization_dummies_lb"": ""648"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""60""}"	"{""l05"": ""9f91d43bd2f0b35f"", ""l1"": ""9f91d43bd2f0b35f"", ""l2"": ""9f91d43bd2f0b35f""}"
42	3	mha4	4	1	0.782240	0.787264	0.872608	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""56"", ""task_refs"": ""528"", ""task_ref_bytes"": ""14784"", ""waits"": ""1108"", ""wait_bytes"": ""8864"", ""raw_polls"": ""1316"", ""lifted_polls"": ""208"", ""waiting_tasks"": ""460"", ""normalization_dummies_lb"": ""648"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""56""}"	"{""l05"": ""9f91d43bd2f0b35f"", ""l1"": ""9f91d43bd2f0b35f"", ""l2"": ""9f91d43bd2f0b35f""}"
42	4	mha4	128	0	1.123328	1.132544	1.260768	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""60"", ""task_refs"": ""13456"", ""task_ref_bytes"": ""376768"", ""waits"": ""27044"", ""wait_bytes"": ""216352"", ""raw_polls"": ""46436"", ""lifted_polls"": ""19392"", ""waiting_tasks"": ""7120"", ""normalization_dummies_lb"": ""19924"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""84""}"	"{""l05"": ""64b3d2b8927afe03"", ""l1"": ""64b3d2b8927afe03"", ""l2"": ""64b3d2b8927afe03""}"
42	5	mha4	128	1	1.118208	1.127232	1.256288	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""56"", ""task_refs"": ""12432"", ""task_ref_bytes"": ""348096"", ""waits"": ""26020"", ""wait_bytes"": ""208160"", ""raw_polls"": ""45412"", ""lifted_polls"": ""19392"", ""waiting_tasks"": ""6096"", ""normalization_dummies_lb"": ""19924"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""80""}"	"{""l05"": ""64b3d2b8927afe03"", ""l1"": ""64b3d2b8927afe03"", ""l2"": ""64b3d2b8927afe03""}"
42	6	gqa2	4	0	0.398336	0.400192	0.446336	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""30"", ""task_refs"": ""232"", ""task_ref_bytes"": ""6496"", ""waits"": ""524"", ""wait_bytes"": ""4192"", ""raw_polls"": ""604"", ""lifted_polls"": ""80"", ""waiting_tasks"": ""204"", ""normalization_dummies_lb"": ""320"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""30""}"	"{""l05"": ""4c544373c0add101"", ""l1"": ""4c544373c0add101"", ""l2"": ""4c544373c0add101""}"
42	7	gqa2	4	1	0.394112	0.396288	0.440192	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""28"", ""task_refs"": ""224"", ""task_ref_bytes"": ""6272"", ""waits"": ""516"", ""wait_bytes"": ""4128"", ""raw_polls"": ""596"", ""lifted_polls"": ""80"", ""waiting_tasks"": ""196"", ""normalization_dummies_lb"": ""320"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""28""}"	"{""l05"": ""4c544373c0add101"", ""l1"": ""4c544373c0add101"", ""l2"": ""4c544373c0add101""}"
43	0	gqa2	128	1	0.552960	0.563392	0.618272	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""28"", ""task_refs"": ""5184"", ""task_ref_bytes"": ""145152"", ""waits"": ""12756"", ""wait_bytes"": ""102048"", ""raw_polls"": ""20412"", ""lifted_polls"": ""7656"", ""waiting_tasks"": ""2984"", ""normalization_dummies_lb"": ""9772"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""36""}"	"{""l05"": ""03f67925c71ded7e"", ""l1"": ""03f67925c71ded7e"", ""l2"": ""03f67925c71ded7e""}"
43	1	mha4	4	0	0.792512	0.798784	0.881664	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""60"", ""task_refs"": ""560"", ""task_ref_bytes"": ""15680"", ""waits"": ""1140"", ""wait_bytes"": ""9120"", ""raw_polls"": ""1348"", ""lifted_polls"": ""208"", ""waiting_tasks"": ""492"", ""normalization_dummies_lb"": ""648"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""60""}"	"{""l05"": ""9f91d43bd2f0b35f"", ""l1"": ""9f91d43bd2f0b35f"", ""l2"": ""9f91d43bd2f0b35f""}"
43	2	mha4	4	1	0.782336	0.786432	0.872448	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""56"", ""task_refs"": ""528"", ""task_ref_bytes"": ""14784"", ""waits"": ""1108"", ""wait_bytes"": ""8864"", ""raw_polls"": ""1316"", ""lifted_polls"": ""208"", ""waiting_tasks"": ""460"", ""normalization_dummies_lb"": ""648"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""31"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""56""}"	"{""l05"": ""9f91d43bd2f0b35f"", ""l1"": ""9f91d43bd2f0b35f"", ""l2"": ""9f91d43bd2f0b35f""}"
43	3	mha4	128	0	1.122016	1.132768	1.189728	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""60"", ""task_refs"": ""13456"", ""task_ref_bytes"": ""376768"", ""waits"": ""27044"", ""wait_bytes"": ""216352"", ""raw_polls"": ""46436"", ""lifted_polls"": ""19392"", ""waiting_tasks"": ""7120"", ""normalization_dummies_lb"": ""19924"", ""max_span"": ""10"", ""generated_max_span"": ""10"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""84""}"	"{""l05"": ""64b3d2b8927afe03"", ""l1"": ""64b3d2b8927afe03"", ""l2"": ""64b3d2b8927afe03""}"
43	4	mha4	128	1	1.113088	1.124352	1.253376	"{""block"": ""128"", ""reg"": ""212"", ""smem"": ""24576"", ""task_smem"": ""24576"", ""occupancy_smem"": ""24576"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""24576"", ""variant_count"": ""1"", ""ctas_per_sm"": ""2"", ""num_sms"": ""128"", ""grid"": ""256"", ""l1_reg"": ""210"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""256"", ""variant_stages"": ""56"", ""task_refs"": ""12432"", ""task_ref_bytes"": ""348096"", ""waits"": ""26020"", ""wait_bytes"": ""208160"", ""raw_polls"": ""45412"", ""lifted_polls"": ""19392"", ""waiting_tasks"": ""6096"", ""normalization_dummies_lb"": ""19924"", ""max_span"": ""9"", ""generated_max_span"": ""9"", ""max_worker_span"": ""255"", ""resident_limit"": ""256"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""80""}"	"{""l05"": ""64b3d2b8927afe03"", ""l1"": ""64b3d2b8927afe03"", ""l2"": ""64b3d2b8927afe03""}"
